Sample	Sym_Num	Sym_ID	Env	Time	Rep	A_Count	B_Count	D_Count	Total_Count	Per_A	Per_B	Per_D	Log_A	Log_B	Log_D	Log_Total
1132	1	D	Light	2	2	0	0	8162	8162	0	0	100	0	0	3.912	3.912
1136	1	D	Light	2	2	0	0	83839	83839	0	0	100	0	0	4.923	4.923
1138	1	D	Light	2	2	0	0	147900	147900	0	0	100	0	0	5.17	5.17
1139	1	D	Light	2	2	0	0	28287	28287	0	0	100	0	0	4.452	4.452
1140	1	D	Light	2	2	0	0	251247	251247	0	0	100	0	0	5.4	5.4
1152	1	D	Light	2	3	0	0	19449	19449	0	0	100	0	0	4.289	4.289
1156	1	D	Light	2	3	0	0	150241	150241	0	0	100	0	0	5.177	5.177
1158	1	D	Light	2	3	0	0	60599	60599	0	0	100	0	0	4.782	4.782
1159	1	D	Light	2	3	0	0	106013	106013	0	0	100	0	0	5.025	5.025
1160	1	D	Light	2	3	0	0	58008	58008	0	0	100	0	0	4.763	4.763
